course_division,course_borough,course_distance,estimated_duration,course_difficulty,course_name
강남,관악구,1.3km,30분,초급,관악산 자락길(무장애숲길)
강북,종로구,1.8km,1시간,초급,흥인지문구간
강북,중구,1.8km,1시간,초급,흥인지문구간
강북,종로구,4km,2시간 30분,중급,인왕산구간
강북,중구,1.8km,1시간,초급,숭례문구간
강북,종로구,4.70km,3시간,중급,백악구간
강북,중구,4.2km,3시간,중급,남산구간
강북,성북구,2.1km,1시간,초급,낙산구간
강북,종로구,2.1km,1시간,초급,낙산구간
강북,서대문구,7km,2시간 ,초급,안산 자락길
강북,종로구,2.5km,1시간,초급,인왕산 자락길
강남,양천구,4.6km,2시간30분,초급,신정산 자락길
강북,성북구,1.2km,40분,초급,북한산 자락길
강남,마포구,2km,1시간 30분,초급,매봉산 자락길
강남,동작구,0.5km,20분,초급,서달산 자락길
강북,동대문구,0.73km,30분,초급,배봉산 자락길
강남,강동구,0.7km,20분,초급,고덕산 자락길
강북,용산구,8.45Km,3시간,초급,용산한강길
강북,중구,8.45Km,3시간,초급,용산한강길
강북,용산구,8.13Km,2시간,초급,청계천길
강북,중구,8.13Km,2시간,초급,청계천길
강북,용산구,1.63km,40분,초급,전쟁기념관 산책길
강북,중구,1.63km,40분,초급,전쟁기념관 산책길
강북,용산구,3.30km,1시간,중급,용산가족 산책길
강북,중구,3.30km,1시간,중급,용산가족 산책길
강북,용산구,6.02km,2시간,초급,덕수궁 산책길
강북,중구,6.02km,2시간,초급,덕수궁 산책길
강북,용산구,2.29km,1시간,초급,남산야외식물원 산책길
강북,중구,2.29km,1시간,초급,남산야외식물원 산책길
강북,중구,9.17km,3시간,중급,남산 순환 나들길
강북,중랑구,9.17km,3시간,중급,남산 순환 나들길
강북,용산구,1.88km,1시간,초급,한남매봉공원 산책길
강북,중구,1.88km,1시간,초급,한남매봉공원 산책길
강북,광진구,1.89km,2시간,초급,어린이대공원 산책길
강북,성동구,1.89km,2시간,초급,어린이대공원 산책길
강북,광진구,2.78km,3시간,고급,아차산 숲 나들길
강북,성동구,2.78km,3시간,고급,아차산 숲 나들길
강북,광진구,2.93㎞,1시간30분,초급,성동 송정둑길
강북,성동구,2.93㎞,1시간30분,초급,성동 송정둑길
강북,광진구,5.22km,2시간,초급,서울숲 공원 산책길
강북,성동구,5.22km,2시간,초급,서울숲 공원 산책길
강북,광진구,8.82km,3시간30분,중급,서울숲 남산 나들길
강북,성동구,8.82km,3시간30분,중급,서울숲 남산 나들길
강북,동대문구,3.57Km,1시간,초급,정릉천길
강북,동대문구,1.83km,1시간,초급,홍릉수목원길
강북,동대문구,3.51km,2시간,중급,배봉산 답십리 나들길
강북,중랑구,3.73km,2시간,중급,중랑캠핑숲나들길
강북,중랑구,5.68km,2시간,초급,중랑천제방장미 벚꽃길
강북,중랑구,4.02km,2시간,고급,용마산 나들길
강북,중랑구,5.51km,2시간30분,중급,망우산숲나들길
강북,노원구,2.84Km,2시간,초급,당현천길
강북,노원구,3.96Km,1시간30분,초급,묵동천길
강북,노원구,4.59km,1시간30분,초급,초안산 나들길(초록숲길)
강북,도봉구,4.59km,1시간30분,초급,초안산 나들길(초록숲길)
강북,노원구,1.12km,1시간,초급,월계근린공원 산책길
강북,노원구,7.39km,4시간30분,고급,수락산 나들길(초록숲길)
강북,노원구,9.79km,3시간,중급,불암산 나들길
강북,강북구,7.94Km,2시간,초급,우이천길
강북,도봉구,7.94Km,2시간,초급,우이천길
강북,강북구,0.21Km,20분,초급,가오천길
강북,도봉구,0.21Km,20분,초급,가오천길
강북,강북구,0.67Km,30분,초급,대동천길
강북,도봉구,0.67Km,30분,초급,대동천길
강북,강북구,2.78Km,1시간,초급,도봉천길
강북,도봉구,2.78Km,1시간,초급,도봉천길
강북,강북구,1.89Km,40분,초급,방학천길
강북,도봉구,1.89Km,40분,초급,방학천길
강북,강북구,7.95km,2시간30분,중급,우이령 나들길
강북,도봉구,7.95km,2시간30분,중급,우이령 나들길
강북,강북구,2.06km,1시간,중급,오패산 나들길
강북,도봉구,2.06km,1시간,중급,오패산 나들길
강북,강북구,5.21km,2시간 30분,중급,쌍문역사 산책길(초록숲길)
강북,도봉구,5.21km,2시간 30분,중급,쌍문역사 산책길(초록숲길)
강북,강북구,6.81km,3시간 30분,중급,북한산방학 나들길
강북,도봉구,6.81km,3시간 30분,중급,북한산방학 나들길
강북,강북구,2.01km,1시간,초급,북서울꿈의숲 산책길
강북,도봉구,2.01km,1시간,초급,북서울꿈의숲 산책길
강북,강북구,4.71km,2시간,중급,북서울꿈의숲 나들길
강북,도봉구,4.71km,2시간,중급,북서울꿈의숲 나들길
강북,성북구,3.62Km,1시간,초급,성북천길
강북,성북구,2.23km,1시간,초급,청량산 산책길
강북,성북구,2.23km,1시간30분,초급,정릉숲 산책길
강북,성북구,2.02km,1시간,초급,오동공원 산책길
강북,성북구,2.49km,1시간30분,초급,북한산자락 산책길
강북,성북구,2.20km,1시간30분,초급,개운산 숲 나들길
강북,종로구,3.54km,1시간 30분,중급,인왕산 나들길
강북,종로구,8.12km,2시간,중급,인사동삼청동 나들길
강북,성북구,4.16km,2시간,중급,성북동고택북촌산책길
강북,성북구,2.79km,2시간,중급,북악하늘 나들길
강북,종로구,2.79km,2시간,중급,북악하늘 나들길
강북,종로구,6.96km,2시간30분,중급,북악스카이웨이 나들길
강북,종로구,4.31km,3시간,중급,부암동 나들길
강북,종로구,3.06km,2시간,중급,백사실두메 나들길
강북,종로구,8.60km,3시간30분,중급,도심고궁 나들길
강북,은평구,2.76km,1시간,초급,진관공원 나들길
강북,은평구,4.39km,2시간,중급,서오릉 나들길
강북,서대문구,2.23km,3시간,초급,안산숲 나들길(초록숲길)
강북,서대문구,5.09km,3시간,중급,백련산 나들길(초록숲길)
강북,서대문구,3.80km,2시간,중급,독립공원안산 나들길
강북,마포구,7.81Km,2시간,초급,홍제천길
강북,서대문구,7.81Km,2시간,초급,홍제천길
강북,마포구,4.43Km,2시간,초급,불광천길
강북,마포구,3.12km,2시간,중급,홍대예술의거리 나들길
강북,마포구,19.29km,4시간30분,고급,월드컵공원 나들길
강북,서대문구,6.14km,2시간30분,중급,신촌대학탐방 나들길
강북,마포구,4.62km,2시간,중급,상암산 DMC 체험나들길
강남,강서구,9.35Km,2시간30분,초급,굴포천(대두둑천)
강남,강서구,8.91Km,3시간,초급,강서한강길
강남,강서구,2.51km,1시간 50분,초급,우장산 공원 산책길
강남,강서구,2.61km,1시간30분,초급,봉제산 숲 나들길
강남,강서구,7.74km,2시간40분,중급,개화산 나들길(강서 둘레길 12코스)
강남,강서구,2.51km,1시간30분,초급,강서문화 산책길
강남,구로구,6.90km,3시간,중급,구로 지양산 숲 나들길
강남,구로구,1.50km,1시간,초급,개웅산 숲 산책길
강남,구로구,3.71Km,1시간,초급,목감천
강남,양천구,3.71Km,1시간,초급,목감천
강남,양천구,2.63km,1시간30분,초급,용왕산 나들길
강남,양천구,0.96km,30분,초급,서서울호수공원 산책길
강남,양천구,0.59km,30분,초급,달마을공원 산책길
강남,영등포구,3.84km,1시간30분,초급,영등포 봄꽃 나들길
강남,영등포구,2.82km,1시간30분,초급,여의도공원 산책길
강남,관악구,3.95km,3시간,고급,호암산 나들길
강남,금천구,3.95km,3시간,고급,호암산 나들길
강남,관악구,5.87km,1시간 50분,초급,청룡산 나들길
강남,금천구,5.87km,1시간 50분,초급,청룡산 나들길
강남,관악구,5.61km,3시간,초급,독산ㆍ삼성산 나들길
강남,금천구,5.61km,3시간,초급,독산ㆍ삼성산 나들길
강남,관악구,1.22km,40분,초급,낙성대 산책길
강남,금천구,1.22km,40분,초급,낙성대 산책길
강남,관악구,0.81km,40분,초급,관음사 산책길
강남,금천구,0.81km,40분,초급,관음사 산책길
강남,관악구,6.99km,3시간,중급,관악산 나들길
강남,금천구,6.99km,3시간,중급,관악산 나들길
강남,관악구,5.58km,2시간,중급,관악산 계곡 나들길
강남,금천구,5.58km,2시간,중급,관악산 계곡 나들길
강남,동작구,3.53km,1시간30분,초급,동작충효길(7코스_까치산길)
강남,동작구,4.58km,2시간,중급,동작충효길(6코스_동작마루길)
강남,동작구,2.50km,1시간30분,중급,동작충효길(5코스_보라매길)
강남,동작구,3.73km,1시간30분,중급,동작충효길(4코스_노량진길)
강남,동작구,3.96km,2시간,중급,동작충효길(3코스_한강나들길)
강남,동작구,2.50Km,1시간,중급,동작충효길(2코스_현충원길)
강남,동작구,2.80km,1시간30분,중급,동작충효길(1코스_고구동산길)
강남,동작구,1.63km,1시간,초급,보라매공원 산책길
강남,동작구,7.34km,4시간30분,중급,현충원 나들길
강남,서초구,2.57Km,1시간,초급,반포천
강남,서초구,5.69Km,2시간,초급,여의천
강남,서초구,3.31km,1시간 30분,초급,서리골 서리풀 나들길
강남,서초구,3.86km,2시간,중급,우면산 나들길
강남,강남구,3.70Km,1시간,초급,세곡천
강남,강남구,2.48Km,1시간,초급,독정천
강남,강남구,9.53Km,3시간,초급,양재천
강남,강남구,6.02km,2시간30분,중급,구룡산 나들길
강남,강남구,4.80km,3시간,중급,대모산 나들길
강남,강남구,4.15km,2시간,중급,선정릉나들길
강남,송파구,30.21km,8시간,고급,송파소리길
강남,송파구,5.49Km,2시간,초급,성내천길
강남,송파구,4.17km,1시간,초급,석촌호수 산책길
강남,송파구,3.67km,3시간,중급,몽촌토성 나들길
강남,강동구,5.21km,3시간,중급,일자산 숲 나들길
강남,강동구,3.98Km,1시간 30분,초급,망월천길
강남,강동구,4.18Km,1시간 30분,초급,고덕천길
강남,강동구,1.90km,1시간30분,초급,고덕산 산책길
